ID,sequence,timestamp
882332,"Created, Ready, Reserved, Completed","2020-02-19 09:31:00, 2020-02-20 08:22:07, 2020-02-27 11:00:54, 2020-02-27 11:01:18"
135612,"Created, Ready, Reserved, InProgress, Completed","2020-09-09 22:09:00, 2020-09-10 18:45:06, 2020-09-23 09:00:23, 2020-11-16 11:37:44, 2020-12-28 10:18:30"
282115,"Created, Ready, Reserved, InProgress, Completed","2020-11-05 16:16:00, 2020-11-06 13:00:53, 2020-11-18 11:30:40, 2020-12-04 10:03:15, 2020-12-09 13:05:08"
557703,"Created, Ready, Reserved, InProgress, Completed","2021-09-17 15:33:00, 2021-09-19 10:51:20, 2021-09-29 09:53:57, 2021-09-29 11:56:35, 2021-11-03 11:04:35"
532601,"Created, Ready, Reserved, InProgress, Completed","2021-04-11 07:28:00, 2021-04-11 21:31:14, 2021-04-22 10:06:19, 2021-04-29 10:14:32, 2022-03-14 10:40:50"
682307,"Created, Ready, Reserved, InProgress, Completed","2021-09-04 15:11:00, 2021-09-06 09:13:05, 2021-09-25 15:20:32, 2021-10-29 07:24:58, 2021-11-06 16:21:48"
980719,"Created, Ready, Reserved, InProgress, Completed","2020-04-29 15:17:00, 2020-04-30 08:22:25, 2020-05-11 08:05:40, 2020-05-13 07:31:32, 2020-05-13 07:40:08"
912647,"Created, Ready, Reserved, InProgress, Completed","2020-01-27 09:01:00, 2020-01-27 19:19:38, 2020-02-07 14:18:41, 2020-02-18 10:20:23, 2020-07-15 14:16:25"
795092,"Created, Ready, Reserved, Exited","2021-10-28 15:30:00, 2021-10-30 20:43:16, 2021-11-16 08:41:12, 2021-11-22 11:57:34"
918213,"Created, Ready, Reserved, InProgress, Completed","2020-02-26 17:01:00, 2020-02-27 12:09:40, 2020-02-28 09:26:33, 2020-06-09 09:14:58, 2020-12-10 12:42:22"
544653,"Created, Ready, Reserved, InProgress, Completed","2021-04-16 15:11:00, 2021-04-19 07:55:38, 2021-04-20 17:24:44, 2021-06-02 14:43:42, 2021-12-05 12:16:25"
680602,"Created, Ready, Reserved, InProgress, Completed","2021-09-07 20:16:00, 2021-09-08 08:56:07, 2021-09-21 06:36:02, 2021-09-23 07:19:28, 2021-10-08 12:47:47"
144072,"Created, Ready, Reserved, InProgress, Completed","2020-08-25 15:40:00, 2020-08-26 17:23:12, 2020-09-14 14:16:15, 2020-11-13 12:35:57, 2020-11-16 08:20:57"
439070,"Created, Ready, Reserved, InProgress, Completed","2021-05-18 14:35:00, 2021-05-19 12:12:39, 2021-06-07 06:23:39, 2021-06-17 18:31:28, 2021-06-21 15:00:03"
913276,"Created, Ready, Reserved, InProgress, Exited, Completed","2020-01-13 14:20:00, 2020-01-15 07:23:36, 2020-01-28 15:33:05, 2020-01-29 16:11:10, 2020-06-11 11:21:07, 2020-09-11 13:29:53"
34959,"Created, Ready, Reserved, InProgress, Completed","2020-06-15 16:04:00, 2020-06-16 08:09:25, 2020-06-16 08:20:47, 2020-06-23 14:56:28, 2021-01-04 14:10:31"
983042,"Created, Ready, Reserved, InProgress, Completed","2020-03-31 10:46:00, 2020-04-03 10:05:33, 2020-04-21 11:34:30, 2020-04-21 11:37:56, 2020-06-09 12:29:36"
555574,"Created, Ready, Reserved, InProgress, Completed","2021-03-30 12:39:00, 2021-04-01 17:52:00, 2021-04-23 09:32:14, 2021-05-10 10:02:41, 2021-11-12 09:22:40"
